Line,Notes
MPX:GFP,Neutrofile wyznakowane bia?kiem GFP (zielone)
CMV:GFP-Lc3,bia?ko Lc3 - marker autofagii- wyznakowane na zielono
Olig2:GFP,Oligodendrocyty wyznakowane bia?kiem zielonej fluorescencji GFP
BRN3C:GFP,Ekspresja GFP w komórkach rz?skowych (ang. cilia)
NeuroD:GFP,Ekspresja eGFP w ró?nicuj?cych si? neuronach Centralnego Uk?adu Nerwowego
TNF-a:GFP,Komórki pozytywne pod k?tem tnfa wyznakowane s? na zielono (GFP)
GFAP:GFP,Astrocyty wyznakowane bia?kiem zielonej fluorescencji GFP
Fli1a:GFP,Komórki ?ródb?onka naczy? krwiono?nych wyznakowane bia?kiem zielonej fluorescencji GFP
IL1B:GFP,Komórki pozytywne pod k?tem il1b wyznakowane s? na zielono (GFP)
Mpeg:mCherry,Makrofagi wyznakowane bia?kiem mCherry (czerwone) - b?onowe
b-actin:mCherry-Lc3,
Kdrl:mCherry,ekspresje RFP (Red Fluorescent Protein) w komórkach ?ródb?onka naczy? krwiono?nych (b?ony komórkowe) 
Kdrl:mTurquoise,ekspresje mTurquoise w komórkach ?ródb?onka naczy? krwiono?nych
MNX1:RFP,ekspresje RFP (Red Fluorescent Protein) w motoneuronach
LysC:CFP-NTR MMP9-,Neutrofile wyznakowane bia?kiem CFP (cyan-niebieskie)
Lyve1:dsRed,?ródb?onek naczy? limfatycznych wybarwiny RFP
Myd88 +/-,mutant genu myd88- bia?ko odpowiedzialne za przekazywanie sygna?u pochodz?cego z receptorów rozpoznaj?cych PAMP np. TLR WA?NE- ryby -/- mog? wykazywa? nisk? odporno?? i przez to wy?sz? ?miertelno??
Xla.Eef1a1:mlsEGFP,ekspresja eGFP w mitochondriach
Wet-Aqua pink WT,wyznakowane na ró?owo ryby towarzysze w tle dzikim (paskowane) np do genotypowania
Wet-Aqua pink Casper,wyznakowane na ró?owo ryby towarzysze w tle Casper np. do genotypowania
GCaMP,sonda wapniowa (green) w neuronach
l-fabp:DBP-EGFP,"bia?ko wi???ce witamin? D (w osoczu) po??czone z bia?kiem wzmocnionej zielonej fluorescencji (EGFP), fenotyp - zielone osocze"
MPX:GFP - Mpeg:mCherry,
Kdrl:mTurquoise - Mpeg:mCherry
Myd88 +/- CMV:GFP-Lc3,mutant genu myd88- bia?ko odpowiedzilne za przekazywanie sygna?u pochodz?cego z receptorów rozpoznaj?cych PAMP np. TLR WA?ZE- ryby -/- mog? wykazywa? nisk? odporno?? i przez to wy?sz? ?miertelno?? w backgoundzie linii reporterowej autofagii
LysC:CFP-NTR MMP9+,"Neutrofile wyznakowane bia?kiem CFP (cyan-niebieskie) oraz neutrofile dojrza?e (komórki mmp9+) wyznakowane bia?kiem Citrine (?ó?te-nab?onek p?etwy ogonowej i dystanlna cz??? jelit, dodatkowo widoczny jest kropkowany wzór wzd?u? g?owy, ?ó?tka i w tkance hematopoetycznej (CHT)"
Empty Vector,Cas9-2a-mCherry expressed in neutrophils (LyzC promoter). Construct expressed in mpx:GFP line that label neutrophils with GFP.

Kdrl:mCherry - l-fabp:DBP-eGFP,"Komórki ?ródb?onka naczy? krwiono?nych wyznakowane bia?kiem czerwonej fluorescencji mCherry, bia?ko wi???ce witamin? D (w osoczu) po??czone z bia?kiem wzmocnionej zielonej fluorescencji (EGFP), fenotyp - zielone osocze"


